STATION,NAME,DATE,TAVG,TMAX,TMIN
TZ000063862,"DODOMA, TZ",2019-07-09,72,83,62
TZ000063862,"DODOMA, TZ",2019-07-10,71,82,
TZ000063862,"DODOMA, TZ",2019-07-11,70,81,
TZ000063862,"DODOMA, TZ",2019-07-12,70,79,58
TZ000063862,"DODOMA, TZ",2019-07-13,69,82,57
TZ000063862,"DODOMA, TZ",2019-07-14,69,,
TZ000063862,"DODOMA, TZ",2019-07-15,68,80,
TZ000063862,"DODOMA, TZ",2019-07-16,69,80,60
TZ000063862,"DODOMA, TZ",2019-07-17,67,76,60
TZ000063862,"DODOMA, TZ",2019-07-18,68,78,
TZ000063862,"DODOMA, TZ",2019-07-19,69,,
TZ000063862,"DODOMA, TZ",2019-07-20,70,82,59
TZ000063862,"DODOMA, TZ",2019-07-21,71,86,58
TZ000063862,"DODOMA, TZ",2019-07-22,67,,
TZ000063862,"DODOMA, TZ",2019-07-23,67,81,
TZ000063862,"DODOMA, TZ",2019-07-24,69,84,54
TZ000063862,"DODOMA, TZ",2019-07-25,69,,57
TZ000063862,"DODOMA, TZ",2019-07-26,68,81,57
TZ000063862,"DODOMA, TZ",2019-07-27,68,80,
TZ000063862,"DODOMA, TZ",2019-07-28,68,81,
TZ000063862,"DODOMA, TZ",2019-07-29,71,84,53
TZ000063862,"DODOMA, TZ",2019-07-30,69,81,53
TZ000063862,"DODOMA, TZ",2019-07-31,70,78,62
TZ000063862,"DODOMA, TZ",2019-08-01,71,82,
TZ000063862,"DODOMA, TZ",2019-08-02,71,82,
TZ000063862,"DODOMA, TZ",2019-08-03,71,83,
TZ000063862,"DODOMA, TZ",2019-08-04,72,83,59
TZ000063862,"DODOMA, TZ",2019-08-05,71,84,60
TZ000063862,"DODOMA, TZ",2019-08-06,74,87,59
TZ000063862,"DODOMA, TZ",2019-08-07,72,84,
TZ000063862,"DODOMA, TZ",2019-08-08,71,82,
TZ000063862,"DODOMA, TZ",2019-08-09,70,81,61
TZ000063862,"DODOMA, TZ",2019-08-10,70,81,
TZ000063862,"DODOMA, TZ",2019-08-11,70,82,
TZ000063862,"DODOMA, TZ",2019-08-12,71,82,59
TZ000063862,"DODOMA, TZ",2019-08-13,69,81,
TZ000063862,"DODOMA, TZ",2019-08-14,70,81,57
TZ000063862,"DODOMA, TZ",2019-08-15,69,81,
TZ000063862,"DODOMA, TZ",2019-08-16,69,80,
TZ000063862,"DODOMA, TZ",2019-08-17,68,,
TZ000063862,"DODOMA, TZ",2019-08-18,73,82,62
TZ000063862,"DODOMA, TZ",2019-08-19,72,82,59
TZ000063862,"DODOMA, TZ",2019-08-20,70,81,
TZ000063862,"DODOMA, TZ",2019-08-21,70,83,
TZ000063862,"DODOMA, TZ",2019-08-22,71,82,60
TZ000063862,"DODOMA, TZ",2019-08-23,72,83,60
TZ000063862,"DODOMA, TZ",2019-08-24,72,82,62
TZ000063862,"DODOMA, TZ",2019-08-25,72,82,61
TZ000063862,"DODOMA, TZ",2019-08-26,73,84,62
TZ000063862,"DODOMA, TZ",2019-08-27,72,,62
TZ000063862,"DODOMA, TZ",2019-08-28,72,,61
TZ000063862,"DODOMA, TZ",2019-08-29,72,83,
TZ000063862,"DODOMA, TZ",2019-08-30,73,84,63
TZ000063862,"DODOMA, TZ",2019-08-31,73,86,62
TZ000063862,"DODOMA, TZ",2019-09-01,74,88,64
TZ000063862,"DODOMA, TZ",2019-09-02,71,81,
TZ000063862,"DODOMA, TZ",2019-09-03,72,84,
TZ000063862,"DODOMA, TZ",2019-09-04,73,85,
TZ000063862,"DODOMA, TZ",2019-09-05,72,88,62
TZ000063862,"DODOMA, TZ",2019-09-06,74,87,
TZ000063862,"DODOMA, TZ",2019-09-07,72,83,62
TZ000063862,"DODOMA, TZ",2019-09-08,70,81,
TZ000063862,"DODOMA, TZ",2019-09-09,72,85,63
TZ000063862,"DODOMA, TZ",2019-09-10,71,86,
TZ000063862,"DODOMA, TZ",2019-09-11,74,87,
TZ000063862,"DODOMA, TZ",2019-09-12,75,88,64
TZ000063862,"DODOMA, TZ",2019-09-13,73,85,
TZ000063862,"DODOMA, TZ",2019-09-14,74,89,
TZ000063862,"DODOMA, TZ",2019-09-15,73,85,63
TZ000063862,"DODOMA, TZ",2019-09-16,72,83,
TZ000063862,"DODOMA, TZ",2019-09-17,73,85,
TZ000063862,"DODOMA, TZ",2019-09-18,74,87,
TZ000063862,"DODOMA, TZ",2019-09-19,74,86,63
TZ000063862,"DODOMA, TZ",2019-09-20,73,85,62
TZ000063862,"DODOMA, TZ",2019-09-21,74,86,
TZ000063862,"DODOMA, TZ",2019-09-22,75,87,
TZ000063862,"DODOMA, TZ",2019-09-23,73,86,
TZ000063862,"DODOMA, TZ",2019-09-24,72,87,62
TZ000063862,"DODOMA, TZ",2019-09-25,75,87,63
TZ000063862,"DODOMA, TZ",2019-09-26,72,84,
TZ000063862,"DODOMA, TZ",2019-09-27,73,84,
TZ000063862,"DODOMA, TZ",2019-09-28,78,89,63
TZ000063862,"DODOMA, TZ",2019-09-29,76,89,
TZ000063862,"DODOMA, TZ",2019-09-30,75,90,
TZ000063862,"DODOMA, TZ",2019-10-01,78,90,65
TZ000063862,"DODOMA, TZ",2019-10-02,75,89,
TZ000063862,"DODOMA, TZ",2019-10-03,72,82,
TZ000063862,"DODOMA, TZ",2019-10-04,69,82,62
TZ000063862,"DODOMA, TZ",2019-10-05,69,78,64
TZ000063862,"DODOMA, TZ",2019-10-06,71,84,62
TZ000063862,"DODOMA, TZ",2019-10-07,73,87,
TZ000063862,"DODOMA, TZ",2019-10-08,73,87,64
TZ000063862,"DODOMA, TZ",2019-10-09,71,85,
TZ000063862,"DODOMA, TZ",2019-10-10,74,86,66
TZ000063862,"DODOMA, TZ",2019-10-11,72,83,65
TZ000063862,"DODOMA, TZ",2019-10-12,71,80,66
TZ000063862,"DODOMA, TZ",2019-10-13,72,82,
TZ000063862,"DODOMA, TZ",2019-10-14,75,87,
TZ000063862,"DODOMA, TZ",2019-10-15,74,87,
TZ000063862,"DODOMA, TZ",2019-10-16,75,89,64
TZ000063862,"DODOMA, TZ",2019-10-17,72,80,66
TZ000063862,"DODOMA, TZ",2019-10-18,72,83,
TZ000063862,"DODOMA, TZ",2019-10-19,74,85,66
TZ000063862,"DODOMA, TZ",2019-10-20,76,88,65
TZ000063862,"DODOMA, TZ",2019-10-21,76,89,
TZ000063862,"DODOMA, TZ",2019-10-22,77,92,65
TZ000063862,"DODOMA, TZ",2019-10-23,77,,
TZ000063862,"DODOMA, TZ",2019-10-24,76,90,
TZ000063862,"DODOMA, TZ",2019-10-25,76,87,
TZ000063862,"DODOMA, TZ",2019-10-26,76,89,
TZ000063862,"DODOMA, TZ",2019-10-27,76,90,
TZ000063862,"DODOMA, TZ",2019-10-28,78,,67
TZ000063862,"DODOMA, TZ",2019-10-29,78,92,66
TZ000063862,"DODOMA, TZ",2019-10-30,76,90,66
TZ000063862,"DODOMA, TZ",2019-10-31,77,90,67
TZ000063862,"DODOMA, TZ",2019-11-01,75,89,65
TZ000063862,"DODOMA, TZ",2019-11-02,75,86,64
TZ000063862,"DODOMA, TZ",2019-11-03,75,88,65
TZ000063862,"DODOMA, TZ",2019-11-04,75,89,65
TZ000063862,"DODOMA, TZ",2019-11-05,76,88,65
TZ000063862,"DODOMA, TZ",2019-11-06,74,89,64
TZ000063862,"DODOMA, TZ",2019-11-07,75,,67
TZ000063862,"DODOMA, TZ",2019-11-08,75,,63
TZ000063862,"DODOMA, TZ",2019-11-09,75,87,67
TZ000063862,"DODOMA, TZ",2019-11-10,74,88,66
TZ000063862,"DODOMA, TZ",2019-11-11,74,88,
TZ000063862,"DODOMA, TZ",2019-11-12,75,,66
TZ000063862,"DODOMA, TZ",2019-11-13,76,,63
TZ000063862,"DODOMA, TZ",2019-11-14,78,90,
TZ000063862,"DODOMA, TZ",2019-11-15,78,93,68
TZ000063862,"DODOMA, TZ",2019-11-16,81,,70
TZ000063862,"DODOMA, TZ",2019-11-17,81,94,70
TZ000063862,"DODOMA, TZ",2019-11-18,79,92,
TZ000063862,"DODOMA, TZ",2019-11-19,77,,69
TZ000063862,"DODOMA, TZ",2019-11-20,78,92,67
TZ000063862,"DODOMA, TZ",2019-11-21,76,87,
TZ000063862,"DODOMA, TZ",2019-11-22,79,92,
TZ000063862,"DODOMA, TZ",2019-11-23,78,90,
TZ000063862,"DODOMA, TZ",2019-11-24,73,82,
TZ000063862,"DODOMA, TZ",2019-11-25,71,84,64
TZ000063862,"DODOMA, TZ",2019-11-26,76,86,68
TZ000063862,"DODOMA, TZ",2019-11-27,77,89,69
TZ000063862,"DODOMA, TZ",2019-11-28,73,87,
TZ000063862,"DODOMA, TZ",2019-11-29,73,84,65
TZ000063862,"DODOMA, TZ",2019-11-30,73,80,
TZ000063862,"DODOMA, TZ",2019-12-01,75,86,
TZ000063862,"DODOMA, TZ",2019-12-02,75,,
TZ000063862,"DODOMA, TZ",2019-12-03,76,,
TZ000063862,"DODOMA, TZ",2019-12-04,76,86,67
TZ000063862,"DODOMA, TZ",2019-12-05,76,88,68
